25440;KARLSBORG(SAFB);SWEDEN;58.517;14.533;102;;;
25480;VISINGSO;SWEDEN;58.1;14.417;95;;;
25490;TOMTABACKEN;SWEDEN;57.5;14.467;356;;;
25500;JONKOPING/AXAMO;SWEDEN;57.75;14.083;224;;;
25520;MALEXANDER;SWEDEN;58.067;15.233;197;;;
25540;KETTSTAKA;SWEDEN;58.717;15.033;225;;;
25550;NASSJO;SWEDEN;57.65;14.7;305;;;
25560;HAGSHULT;SWEDEN;57.3;14.133;169;;;
25580;KOLMARDEN-STROMSFOR;SWEDEN;58.683;16.317;155;;;
25590;GLADHAMMAR;SWEDEN;57.7;16.467;31;;;
25620;LINKOPING/MALMSLATT;SWEDEN;58.4;15.533;93;;;
25625;SAAB;SWEDEN;58.4;15.667;54;;;
25630;HARSTENA;SWEDEN;58.25;17.017;18;;;
25635;ANGELHOLM;SWEDEN;56.3;12.85;20;;;
25640;MALEXANDER;SWEDEN;58.067;15.233;200;;;
25660;MALILLA;SWEDEN;57.4;15.817;98;;;
25670;LANDSORT;SWEDEN;58.75;17.867;20;;;
25700;NORRKOPING/BRAVALLA;SWEDEN;58.617;16.117;33;;;
25710;NORRKOPING/KUNGSANG;SWEDEN;58.583;16.149;8;;;
25720;NYKOPING/SKAVST;AFB;SWEDEN;58.783;16.917;42;;
25740;NORRKOPING;SWEDEN;58.583;16.149;35;;;
25750;OLANDS;NORRA;UDDE;SWEDEN;57.367;17.1;4;
25760;GLADHAMMAR;SWEDEN;57.783;16.6;9;;;
25820;LANDSORT;SWEDEN;58.75;17.867;32;;;
25840;GOTSKA;SANDON;SWEDEN;58.4;19.2;12;;
25860;HARSTENA;SWEDEN;58.25;17.017;7;;;
25880;FARO;ISLAND;SWEDEN;57.9;19.167;8;;
25890;GOTSKA;SANDON;SWEDEN;58.4;19.2;17;;
25900;VISBY;SWEDEN;57.667;18.35;47;;;
25920;OLANDS;NORRA;UDDE;SWEDEN;57.367;17.1;4;
26040;HALMSTAD;(SWE-AFB);SWEDEN;56.683;12.833;30;;
26050;HALLANDS;VADERO;SWEDEN;56.45;12.55;10;;
26060;KULLEN;(LGT-H);SWEDEN;56.3;12.45;72;;
